"","Model","Precision","Recall","Dataset"
"1","LLAMA",2.31052951581236e-43,7.15269448129187e-41,"ENCO"
"2","MIXTRAL",5.95499409286693e-39,3.37345664366224e-41,"ENCO"
"3","GPT-4",7.31809977033768e-20,2.0317870818862e-30,"ENCO"
"4","MISTRAL",3.77664680899863e-47,1.07896650362423e-42,"ENCO"
"5","GPT-3.5",5.8796672963497e-39,1.03357086327694e-43,"ENCO"
"6","LLAMA",3.38804591649766e-46,6.17527519469935e-42,"BTHS"
"7","MIXTRAL",4.76550135174591e-42,4.34636692873978e-41,"BTHS"
"8","GPT-4",1.71958778697714e-17,4.19326784871821e-22,"BTHS"
"9","MISTRAL",3.27759109541169e-46,1.04223808106096e-44,"BTHS"
"10","GPT-3.5",4.60424940094035e-32,6.20511338983802e-43,"BTHS"
